station id,station name,station latitude,station longitude
3212,Christ Hospital,40.734786,-74.050444
3213,Van Vorst Park,40.718489,-74.047727
3214,Essex Light Rail,40.712774,-74.036486
3215,Central Ave,40.74673,-74.049251
3216,Columbia Park,40.69703,-74.096937
3217,Bayside Park,40.698651,-74.08208
3220,5 Corners Library,40.734961,-74.059503
3221,47 Ave & 31 St,40.743,-73.93561
3222,Hanson Pl & St Felix St,40.68516,-73.977114
3223,E 55 St & 3 Ave,40.758997,-73.968654
3224,W 13 St & Hudson St,40.739974,-74.005139
3225,Baldwin at Montgomery,40.723659,-74.064194
3226,W 82 St & Central Park West,40.78275,-73.97137
3229,Marcy Ave & MacDonough St,40.680618,-73.946249
3230,Penn Station Valet,40.751284,-73.996924
3231,E 67 St & Park Ave,40.767808,-73.965921
3232,Bond St & Fulton St,40.689622,-73.983043
3233,E 48 St & 5 Ave,40.757246,-73.978059
3235,E 41 St & Madison Ave,40.752165,-73.979922
3236,W 42 St & Dyer Ave,40.758985,-73.9938
3237,21 St & 41 Ave,40.753833,-73.942677
3238,E 80 St & 2 Ave,40.773914,-73.954395
3241,Monroe St & Tompkins Ave,40.686203,-73.944694
3242,Schermerhorn St & Court St,40.691029,-73.991834
3243,E 58 St & 1 Ave,40.758924,-73.962262
3244,University Pl & E 8 St,40.731437,-73.994903
3246,Montague St & Clinton St,40.694281,-73.9923
3249,Verona Pl & Fulton St,40.680356,-73.947679
3252,Bike The Branches - Red Hook Branch,40.67535,-74.01002
3253,Bike The Branches - Central Branch,40.672806,-73.968866
3254,Soissons Landing,40.692317,-74.014866
3255,8 Ave & W 31 St,40.750585,-73.994685
3256,Pier 40 - Hudson River Park,40.727714,-74.011296
3257,Adventures NYC,40.773769,-73.97117
3258,W 27 St & 10 Ave,40.750182,-74.002184
3259,8th Ave & W 28 St,40.74937,-73.999234
3260,Mercer St & Bleecker St,40.727064,-73.996621
3263,Cooper Square & E 7 St,40.729236,-73.990868
3264,E 61 St & Park Ave,40.76421,-73.969105
3265,E 2 St & 2 Ave,40.724563,-73.989444
3266,Kiosk in a box Deployment,40.708611,-73.928504
3267,Morris Canal,40.712419,-74.038526
3268,Lafayette Park,40.713464,-74.062859
3270,Jersey & 6th St,40.725458,-74.045526
3271,Danforth Light Rail,40.692609,-74.08809
3272,Jersey & 3rd,40.723401,-74.045754
3273,Manila & 1st,40.721651,-74.042884
3274,Bethune Center,40.704958,-74.085931
3275,Columbus Drive,40.718355,-74.038914
3276,Marin Light Rail,40.714825,-74.042981
3278,Monmouth and 6th,40.725685,-74.04879
3279,Dixon Mills,40.72163,-74.049968
3281,Leonard Gordon Park,40.74591,-74.057271
3282,5 Ave & E 88 St,40.78307,-73.95939
